Bulan;Kebun;Afdeling;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Pot.;Kg Pot.;BJR Akt.;BJR Pot.;Ton/ha Akt.;Ton/ha Pot.;% Cap.;Gap Ton/Ha;Gap %
FEB;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
FEB;Plasma;Plasma 2;218,5;31449;15443;48320;55350,2;297160;3,1;5,4;0,2;1,4;16,3;-1,1;83,7
FEB;Mitra;Mitra 1;67,6;9688;6556;26983;15279,4;106305,8;4,1;7;0,4;1,6;25,4;-1,2;74,6
FEB;Mitra;Mitra 2;137,6;19739;12647;48200;34477,5;210252,8;3,8;6,1;0,4;1,5;22,9;-1,2;77,1
MAR;Estate 1;Afdeling 1;927,2;133167;224892;1138640;215730,5;2002752;5,1;9,3;1,2;2,2;56,9;-0,9;43,1
MAR;Estate 1;Afdeling 2;799,6;114985;165878;728182;191052;1580993,7;4,4;8,3;0,9;2;46,1;-1,1;53,9
MAR;Estate 1;Afdeling 3;675,7;98117;145989;514414;164100,7;1392617,7;3,5;8,5;0,8;2,1;36,9;-1,3;63,1
MAR;Estate 2;Afdeling 4;457,2;66094;78540;409930;136814,6;906725,6;5,2;6,6;0,9;2;45,2;-1,1;54,8
MAR;Estate 2;Afdeling 5;843,2;121649;122037;561330;237215,6;1620461,8;4,6;6,8;0,7;1,9;34,6;-1,3;65,4
MAR;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
MAR;Plasma;Plasma 2;218,5;31449;11455;37000;62269;334305;3,2;5,4;0,2;1,5;11,1;-1,4;88,9
MAR;Mitra;Mitra 1;67,6;9688;10365;43104;17189,3;119594,1;4,2;7;0,6;1,8;36;-1,1;64
MAR;Mitra;Mitra 2;137,6;19739;22406;90420;38787,1;236534,4;4;6,1;0,7;1,7;38,2;-1,1;61,8
APR;Estate 1;Afdeling 1;927,2;133167;280754;1532270;191760,5;1780224;5,5;9,3;1,7;1,9;86,1;-0,3;13,9
APR;Estate 1;Afdeling 2;799,6;114985;216218;993553;169824;1405327,8;4,6;8,3;1,2;1,8;70,7;-0,5;29,3
APR;Estate 1;Afdeling 3;675,7;98117;167740;646669;145867,3;1237882,4;3,9;8,5;1;1,8;52,2;-0,9;47,8
APR;Estate 2;Afdeling 4;457,2;66094;153670;723550;121613;805978,3;4,7;6,6;1,6;1,8;89,8;-0,2;10,2
APR;Estate 2;Afdeling 5;843,2;121649;161629;673240;210858,3;1440410,5;4,2;6,8;0,8;1,7;46,7;-0,9;53,3
APR;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
APR;Plasma;Plasma 2;218,5;31449;39402;114150;55350,2;297160;2,9;5,4;0,5;1,4;38,4;-0,8;61,6
APR;Mitra;Mitra 1;67,6;9688;10922;48288;15279,4;106305,8;4,4;7;0,7;1,6;45,4;-0,9;54,6
APR;Mitra;Mitra 2;137,6;19739;29790;134660;34477,5;210252,8;4,5;6,1;1;1,5;64;-0,5;36
MEI;Estate 1;Afdeling 1;927,2;133167;257304;1423570;215730,5;2002752;5,5;9,3;1,5;2,2;71,1;-0,6;28,9
MEI;Estate 1;Afdeling 2;799,6;114985;239344;1240444;191052;1580993,7;5,2;8,3;1,6;2;78,5;-0,4;21,5
MEI;Estate 1;Afdeling 3;675,7;98117;180736;819242;164100,7;1392617,7;4,5;8,5;1,2;2,1;58,8;-0,8;41,2
MEI;Estate 2;Afdeling 4;457,2;66094;152045;807560;136814,6;906725,6;5,3;6,6;1,8;2;89,1;-0,2;10,9
MEI;Estate 2;Afdeling 5;843,2;121649;162554;656700;237215,6;1620461,8;4;6,8;0,8;1,9;40,5;-1,1;59,5
MEI;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
MEI;Plasma;Plasma 2;218,5;31449;63987;197960;62269;334305;3,1;5,4;0,9;1,5;59,2;-0,6;40,8
MEI;Mitra;Mitra 1;67,6;9688;10292;48504;17189,3;119594,1;4,7;7;0,7;1,8;40,6;-1,1;59,4
MEI;Mitra;Mitra 2;137,6;19739;37024;158120;38787,1;236534,4;4,3;6,1;1,1;1,7;66,8;-0,6;33,2
JUN;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;215730,5;2002752;#DIV/0!;9,3; -   ;2,2; -   ;-2,2;100
JUN;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;191052;1580993,7;#DIV/0!;8,3; -   ;2; -   ;-2;100
JUN;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;164100,7;1392617,7;#DIV/0!;8,5; -   ;2,1; -   ;-2,1;100
JUN;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;136814,6;906725,6;#DIV/0!;6,6; -   ;2; -   ;-2;100
JUN;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;237215,6;1620461,8;#DIV/0!;6,8; -   ;1,9; -   ;-1,9;100
JUN;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JUN;Plasma;Plasma 2;218,5;31449; -   ; -   ;62269;334305;#DIV/0!;5,4; -   ;1,5; -   ;-1,5;100
JUN;Mitra;Mitra 1;67,6;9688; -   ; -   ;17189,3;119594,1;#DIV/0!;7; -   ;1,8; -   ;-1,8;100
JUN;Mitra;Mitra 2;137,6;19739; -   ; -   ;38787,1;236534,4;#DIV/0!;6,1; -   ;1,7; -   ;-1,7;100
JUL;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;215730,5;2002752;#DIV/0!;9,3; -   ;2,2; -   ;-2,2;100
JUL;Estate 1;Afdeling 2;799,6;114985; -   ; -   ;191052;1580993,7;#DIV/0!;8,3; -   ;2; -   ;-2;100
JUL;Estate 1;Afdeling 3;675,7;98117; -   ; -   ;164100,7;1392617,7;#DIV/0!;8,5; -   ;2,1; -   ;-2,1;100
JUL;Estate 2;Afdeling 4;457,2;66094; -   ; -   ;136814,6;906725,6;#DIV/0!;6,6; -   ;2; -   ;-2;100
JUL;Estate 2;Afdeling 5;843,2;121649; -   ; -   ;237215,6;1620461,8;#DIV/0!;6,8; -   ;1,9; -   ;-1,9;100
JUL;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JUL;Plasma;Plasma 2;218,5;31449; -   ; -   ;62269;334305;#DIV/0!;5,4; -   ;1,5; -   ;-1,5;100
JUL;Mitra;Mitra 1;67,6;9688; -   ; -   ;17189,3;119594,1;#DIV/0!;7; -   ;1,8; -   ;-1,8;100
JUL;Mitra;Mitra 2;137,6;19739; -   ; -   ;38787,1;236534,4;#DIV/0!;6,1; -   ;1,7; -   ;-1,7;100
AGT;Estate 1;Afdeling 1;927,2;133167; -   ; -   ;191760,5;1780224;#DIV/0!;9,3; -   ;1,9; -   ;-1,9;100
