Bulan;Kebun;Afdeling;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Bgt.;Kg Bgt.;BJR Akt.;BJR Bgt.;Ton/ha Akt.;Ton/ha Bgt.;% Cap.;Gap Ton/Ha;Gap %
JAN;Estate 1;Afdeling 1;927,2;133167;251451;1438890;193436,2;1354053,4;5,7;7;1,6;1,5;106,3;0,1;-6,3
JAN;Estate 1;Afdeling 2;799,6;114985;220319;1154939;163603,9;1063425,5;5,2;6,5;1,4;1,3;108,6;0,1;-8,6
JAN;Estate 1;Afdeling 3;675,7;98117;175178;734813;141209,2;875470,5;4,2;6,2;1,1;1,3;83,9;-0,2;16,1
JAN;Estate 2;Afdeling 4;457,2;66094;89923;409240;112269,3;671400,3;4,6;6;0,9;1,5;61;-0,6;39
JAN;Estate 2;Afdeling 5;843,2;121649;125163;604120;182145,6;997707,6;4,8;5,5;0,7;1,2;60,6;-0,5;39,4
JAN;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JAN;Plasma;Plasma 2;218,5;31449;12020;40940;35853,2;123291,1;3,4;3,4;0,2;0,6;33,2;-0,4;66,8
JAN;Mitra;Mitra 1;67,6;9688;8396;38238;12775,3;62999,5;4,6;4,9;0,6;0,9;60,7;-0,4;39,3
JAN;Mitra;Mitra 2;137,6;19739;6894;29210;20403;97729,8;4,2;4,8;0,2;0,7;29,9;-0,5;70,1
FEB;Estate 1;Afdeling 1;927,2;133167;226001;1222390;221069,9;1547489,6;5,4;7;1,3;1,7;79;-0,4;21
FEB;Estate 1;Afdeling 2;799,6;114985;190189;920414;186975,9;1215343,4;4,8;6,5;1,2;1,5;75,7;-0,4;24,3
FEB;Estate 1;Afdeling 3;675,7;98117;149938;568353;161381,9;1000537,7;3,8;6,2;0,8;1,5;56,8;-0,6;43,2
FEB;Estate 2;Afdeling 4;457,2;66094;80955;415990;128307,7;767314,6;5,1;6;0,9;1,7;54,2;-0,8;45,8
FEB;Estate 2;Afdeling 5;843,2;121649;113803;555150;208166,4;1140237,2;4,9;5,5;0,7;1,4;48,7;-0,7;51,3
FEB;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
FEB;Plasma;Plasma 2;218,5;31449;15443;48320;40975,1;140904,1;3,1;3,4;0,2;0,6;34,3;-0,4;65,7
FEB;Mitra;Mitra 1;67,6;9688;6556;26983;14600,4;71999,4;4,1;4,9;0,4;1,1;37,5;-0,7;62,5
FEB;Mitra;Mitra 2;137,6;19739;12647;48200;23317,8;111691,1;3,8;4,8;0,4;0,8;43,2;-0,5;56,8
MAR;Estate 1;Afdeling 1;927,2;133167;224892;1138640;248703,7;1740925,8;5,1;7;1,2;1,9;65,4;-0,6;34,6
MAR;Estate 1;Afdeling 2;799,6;114985;165878;728182;210347,9;1367261,4;4,4;6,5;0,9;1,7;53,3;-0,8;46,7
MAR;Estate 1;Afdeling 3;675,7;98117;145989;514414;181554,7;1125604,9;3,5;6,2;0,8;1,7;45,7;-0,9;54,3
MAR;Estate 2;Afdeling 4;457,2;66094;78540;409930;144346,2;863228,9;5,2;6;0,9;1,9;47,5;-1;52,5
MAR;Estate 2;Afdeling 5;843,2;121649;122037;561330;234187,1;1282766,9;4,6;5,5;0,7;1,5;43,8;-0,9;56,2
MAR;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
MAR;Plasma;Plasma 2;218,5;31449;11455;37000;46097;158517,1;3,2;3,4;0,2;0,7;23,3;-0,6;76,7
MAR;Mitra;Mitra 1;67,6;9688;10365;43104;16425,4;80999,4;4,2;4,9;0,6;1,2;53,2;-0,6;46,8
MAR;Mitra;Mitra 2;137,6;19739;22406;90420;26232,5;125652,5;4;4,8;0,7;0,9;72;-0,3;28
APR;Estate 1;Afdeling 1;927,2;133167;280754;1532270;221069,9;1547489,6;5,5;7;1,7;1,7;99;0;1
APR;Estate 1;Afdeling 2;799,6;114985;216218;993553;186975,9;1215343,4;4,6;6,5;1,2;1,5;81,8;-0,3;18,2
APR;Estate 1;Afdeling 3;675,7;98117;167740;646669;161381,9;1000537,7;3,9;6,2;1;1,5;64,6;-0,5;35,4
APR;Estate 2;Afdeling 4;457,2;66094;153670;723550;128307,7;767314,6;4,7;6;1,6;1,7;94,3;-0,1;5,7
APR;Estate 2;Afdeling 5;843,2;121649;161629;673240;208166,4;1140237,2;4,2;5,5;0,8;1,4;59;-0,6;41
APR;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
APR;Plasma;Plasma 2;218,5;31449;39402;114150;40975,1;140904,1;2,9;3,4;0,5;0,6;81;-0,1;19
APR;Mitra;Mitra 1;67,6;9688;10922;48288;14600,4;71999,4;4,4;4,9;0,7;1,1;67,1;-0,4;32,9
APR;Mitra;Mitra 2;137,6;19739;29790;134660;23317,8;111691,1;4,5;4,8;1;0,8;120,6;0,2;-20,6
MEI;Estate 1;Afdeling 1;927,2;133167;257304;1423570;248703,7;1740925,8;5,5;7;1,5;1,9;81,8;-0,3;18,2
MEI;Estate 1;Afdeling 2;799,6;114985;239344;1240444;210347,9;1367261,4;5,2;6,5;1,6;1,7;90,7;-0,2;9,3
MEI;Estate 1;Afdeling 3;675,7;98117;180736;819242;181554,7;1125604,9;4,5;6,2;1,2;1,7;72,8;-0,5;27,2
MEI;Estate 2;Afdeling 4;457,2;66094;152045;807560;144346,2;863228,9;5,3;6;1,8;1,9;93,6;-0,1;6,4
MEI;Estate 2;Afdeling 5;843,2;121649;162554;656700;234187,1;1282766,9;4;5,5;0,8;1,5;51,2;-0,7;48,8
MEI;Plasma;Plasma 1; -   ; -   ; -   ; -   ; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
MEI;Plasma;Plasma 2;218,5;31449;63987;197960;46097;158517,1;3,1;3,4;0,9;0,7;124,9;0,2;-24,9
MEI;Mitra;Mitra 1;67,6;9688;10292;48504;16425,4;80999,4;4,7;4,9;0,7;1,2;59,9;-0,5;40,1
MEI;Mitra;Mitra 2;137,6;19739;37024;158120;26232,5;125652,5;4,3;4,8;1,1;0,9;125,8;0,2;-25,8
JUN;Estate 1;Afdeling 1;927,2;133167;;;248703,7;1740925,8;#DIV/0!;7; -   ;1,9; -   ;-1,9;100
JUN;Estate 1;Afdeling 2;799,6;114985;;;210347,9;1367261,4;#DIV/0!;6,5; -   ;1,7; -   ;-1,7;100
JUN;Estate 1;Afdeling 3;675,7;98117;;;181554,7;1125604,9;#DIV/0!;6,2; -   ;1,7; -   ;-1,7;100
JUN;Estate 2;Afdeling 4;457,2;66094;;;144346,2;863228,9;#DIV/0!;6; -   ;1,9; -   ;-1,9;100
JUN;Estate 2;Afdeling 5;843,2;121649;;;234187,1;1282766,9;#DIV/0!;5,5; -   ;1,5; -   ;-1,5;100
JUN;Plasma;Plasma 1; -   ; -   ;;; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JUN;Plasma;Plasma 2;218,5;31449;;;46097;158517,1;#DIV/0!;3,4; -   ;0,7; -   ;-0,7;100
JUN;Mitra;Mitra 1;67,6;9688;;;16425,4;80999,4;#DIV/0!;4,9; -   ;1,2; -   ;-1,2;100
JUN;Mitra;Mitra 2;137,6;19739;;;26232,5;125652,5;#DIV/0!;4,8; -   ;0,9; -   ;-0,9;100
JUL;Estate 1;Afdeling 1;927,2;133167;;;248703,7;1740925,8;#DIV/0!;7; -   ;1,9; -   ;-1,9;100
JUL;Estate 1;Afdeling 2;799,6;114985;;;210347,9;1367261,4;#DIV/0!;6,5; -   ;1,7; -   ;-1,7;100
JUL;Estate 1;Afdeling 3;675,7;98117;;;181554,7;1125604,9;#DIV/0!;6,2; -   ;1,7; -   ;-1,7;100
JUL;Estate 2;Afdeling 4;457,2;66094;;;144346,2;863228,9;#DIV/0!;6; -   ;1,9; -   ;-1,9;100
JUL;Estate 2;Afdeling 5;843,2;121649;;;234187,1;1282766,9;#DIV/0!;5,5; -   ;1,5; -   ;-1,5;100
JUL;Plasma;Plasma 1; -   ; -   ;;; -   ; -   ;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
JUL;Plasma;Plasma 2;218,5;31449;;;46097;158517,1;#DIV/0!;3,4; -   ;0,7; -   ;-0,7;100
JUL;Mitra;Mitra 1;67,6;9688;;;16425,4;80999,4;#DIV/0!;4,9; -   ;1,2; -   ;-1,2;100
JUL;Mitra;Mitra 2;137,6;19739;;;26232,5;125652,5;#DIV/0!;4,8; -   ;0,9; -   ;-0,9;100
AGT;Estate 1;Afdeling 1;927,2;133167;;;221069,9;1547489,6;#DIV/0!;7; -   ;1,7; -   ;-1,7;100
AGT;Estate 1;Afdeling 2;799,6;114985;;;186975,9;1215343,4;#DIV/0!;6,5; -   ;1,5; -   ;-1,5;100
